Run #1	Run #1
Time (s)	Voltage (V)
62.400	3.354
62.450	3.359
62.500	3.359
62.550	3.354
62.600	3.359
62.650	3.359
62.700	3.359
62.750	3.359
62.800	3.359
62.850	3.354
62.900	3.359
62.950	3.359
63.000	3.359
63.050	3.354
63.100	3.359
63.150	3.359
63.200	3.354
63.250	3.354
63.300	3.359
63.350	3.354
63.400	3.359
63.450	3.359
63.500	3.359
63.550	3.359
63.600	3.359
63.650	3.359
63.700	3.354
63.750	3.354
63.800	3.359
63.850	3.359
63.900	3.359
63.950	3.354
64.000	3.359
64.050	3.354
64.100	3.359
64.150	3.354
64.200	3.359
64.250	3.359
64.300	3.359
64.350	3.359
64.400	3.359
64.450	3.354
64.500	3.359
64.550	3.359
64.600	3.364
64.650	3.354
64.700	3.364
64.750	3.364
64.800	3.359
64.850	3.354
64.900	3.359
64.950	3.359
65.000	3.359
65.050	3.359
65.100	3.359
65.150	3.359
65.200	3.359
65.250	3.359
65.300	3.359
65.350	3.354
65.400	3.359
65.450	3.354
65.500	3.359
65.550	3.354
65.600	3.359
65.650	3.359
65.700	3.359
65.750	3.354
65.800	3.359
65.850	3.359
65.900	3.359
65.950	3.354
66.000	3.359
66.050	3.359
66.100	3.359
66.150	3.359
66.200	3.359
66.250	3.354
66.300	3.359
66.350	3.359
66.400	3.359
66.450	3.359
66.500	3.359
66.550	3.359
66.600	3.359
66.650	3.359
66.700	3.359
66.750	3.359
66.800	3.359
66.850	3.354
66.900	3.359
66.950	3.359
67.000	3.364
67.050	3.359
67.100	3.359
67.150	3.359
67.200	3.359
67.250	3.359
67.300	3.359
67.350	3.359
67.400	3.359
67.450	3.359
67.500	3.359
67.550	3.354
67.600	3.359
67.650	3.359
67.700	3.364
67.750	3.359
67.800	3.359
67.850	3.359
67.900	3.354
67.950	3.359
68.000	3.359
68.050	3.359
68.100	3.359
68.150	3.359
68.200	3.364
68.250	3.359
68.300	3.359
68.350	3.359
68.400	3.359
68.450	3.359
68.500	3.359
68.550	3.354
68.600	3.359
68.650	3.364
68.700	3.359
68.750	3.359
68.800	3.359
68.850	3.359
68.900	3.359
68.950	3.359
69.000	3.354
69.050	3.359
69.100	3.369
69.150	3.354
69.200	3.359
69.250	3.359
69.300	3.359
69.350	3.350
69.400	3.350
69.450	3.359
69.500	3.359
69.550	3.359
69.600	3.359
69.650	3.359
69.700	3.359
69.750	3.359
69.800	3.359
69.850	3.350
69.900	3.359
69.950	3.354
70.000	3.364
70.050	3.359
70.100	3.359
70.150	3.354
70.200	3.359
70.250	3.354
70.300	3.359
70.350	3.359
70.400	3.359
70.450	3.359
70.500	3.359
70.550	3.354
70.600	3.359
70.650	3.359
70.700	3.359
70.750	3.359
70.800	3.359
70.850	3.350
70.900	3.359
70.950	3.359
71.000	3.359
71.050	3.359
71.100	3.359
71.150	3.354
71.200	3.359
71.250	3.359
71.300	3.359
71.350	3.359
71.400	3.359
71.450	3.345
71.500	3.359
71.550	3.359
71.600	3.359
71.650	3.359
71.700	3.359
71.750	3.359
71.800	3.359
71.850	3.354
71.900	3.359
71.950	3.354
72.000	3.359
72.050	3.354
72.100	3.359
72.150	3.359
72.200	3.354
72.250	3.354
72.300	3.359
72.350	3.359
72.400	3.359
72.450	3.364
72.500	3.354
72.550	3.359
72.600	3.354
72.650	3.354
72.700	3.359
72.750	3.359
72.800	3.359
72.850	3.354
72.900	3.359
72.950	3.359
73.000	3.354
73.050	3.359
73.100	3.359
73.150	3.354
73.200	3.359
73.250	3.359
73.300	3.359
73.350	3.359
73.400	3.359
73.450	3.359
73.500	3.359
73.550	3.345
73.600	3.354
73.650	3.359
73.700	3.359
73.750	3.354
